"#","MFL Code","DHIS Code","Name","County","Subcounty"
"1","18529","0","Kivaani Dispensary","Kitui","Kitui West"
"2","17989","0","St Anns Medical Centre","Kiambu","Kabete"
"3","14180","Vh676wb3d16","10 Engineer VCT","Laikipia","Laikipia East"
"4","20600","0","20600 | Burri Aramia","Marsabit","Laisamis"
"5","0","0","23835","Busia","Teso North"
"6","11917","MgMyK9aTJ2C","78 Tank Dispensary","Isiolo","Isiolo"
"7","12861","DX1UYTb1erh","AAR City Centre Clinic","Nairobi","Starehe"
"8","12862","0","AAR Kariobangi Clinic","Nairobi","Ruaraka"
"9","11194","lvBP7xY9W2N","AAR Medical Services (Kilindini)","Mombasa","Mvita"
"10","14183","CSpKc4vZzgD","AAR Nakuru Clinic","Nakuru","Nakuru West"
"11","12863","C1LIWUfN9s6","AAR Thika Road Clinic","Nairobi","Ruaraka"
"12","13265","sEGi1wY7bRB","Abakore Dispensary","Wajir","Wajir South"
"13","19484","0","Abby Clinic","Nairobi","Westlands"
"14","17009","0","Abdisamad Dispensary","Garissa","Balambala"
"15","10001","0","Abel Migwi Johana Laboratory","Kirinyaga","Kirinyaga Central"
"16","10002","hhCsxMUUkTh","Aberdare  Medical & Surgical Clinic","Nyeri","Mukurweini"
"17","10003","AxoRQlxUmOL","Aberdare Health Services","Muranga","Kigumo"
"18","16716","t31hD2L7KAb","Able Medical Clinic","Kakamega","Shinyalu"
"19","10004","AHVO3pGtUmT","Abrahams Clinic","Kirinyaga","Kirinyaga North/Mwea West"
"20","23596","0","Abundant Mission Hospital","Kiambu","Kabete"
"21","20823","0","Ace Africa Wellness Center","Bungoma","Bungoma Central"
"22","11918","Fg18SYNETmu","ACK Dispensary (Isiolo)","Isiolo","Isiolo"
"23","12442","0","ACK Macumo ICDs Clinic","Embu","Manyatta"
"24","18174","0","ACK Mbiri Dispensary","Kirinyaga","Kirinyaga Central"
"25","13266","M4hBq6jXYVg","Adadijolle Dispensary","Wajir","Wajir North"
"26","0","0","Adek Dispensary","Homa Bay","Homa Bay Town"
"27","13267","Ya8HkTriZCR","Ademasajida Dispensary","Wajir","Wajir West"
"28","11197","0","Adiwango Medical Clinic","Mombasa","Likoni"
"29","13268","ynVXQPsTDrH","Africa Inland Church Dispensary","Wajir","Wajir East"
"30","10005","UFcAlw0DpFu","Afya B Clinic (Kibirigwi)","Kirinyaga","Kirinyaga Central"
"31","11919","yLUrPn8o7pL","Afya Bora Clinic (Meru South)","Tharaka Nithi","Chuka/Igambangombe"
"32","10011","lg1rCIPbHfu","Afya Bora Clinic (Mwea)","Kirinyaga","Kirinyaga North"
"33","16411","lNGdysmfdqx","Afya Bora Medical Clinic","Nakuru","Njoro"
"34","16491","iTH2FlVyfE7","Afya Bora Medical Clinic (CFW Clinic Gichugu)","Kirinyaga","Kirinyaga East"
"35","11199","rVtI7pd7E0o","Afya Bora Medical Clinic (Kilindini)","Mombasa","Likoni"
"36","11200","dzKV0uqrNvA","Afya Bora Medical Clinic (Malindi)","Kilifi","Magarini"
"37","10007","BdLHs7735de","Afya Bora Medical Clinic (Muchagara)","Kirinyaga","Kirinyaga East"
"38","10008","Os6yrC9h94h","Afya Bora Medical Clinic (Nyeri South)","Nyeri","Nyeri Central"
"39","11201","vP7J11QzfUP","Afya Clinic","Taita Taveta","Wundanyi"
"40","13269","NT6wwqpf4Li","Afya Clinic (Garissa)","Garissa","Garissa"
"41","10009","D5R3RuMi3T5","Afya Health Services","Nyeri","Mukurweini"
"42","20380","zIH5D1lZ7bw","Afya Health System Hospital","Homa Bay","Homa Bay Town"
"43","22539","0","Afya Mashinani","Nyeri","Nyeri South (Othaya)"
"44","16556","vNS3tcXpX3a","Afya Medical clinic","Meru","Buuri"
"45","11920","KdIuTfNb8d4","Afya Medical Clinic (Kangundo)","Machakos","Kangundo"
"46","10012","aVPrkIutAPp","Afya Medical Clinic (Kibingoti)","Kirinyaga","Kirinyaga Central"
"47","10006","qtG0bLpXIP9","Afya Medical Clinic (Kirinyaga)","Kirinyaga","Kirinyaga South"
"48","10010","u6z6dxsLixP","Afya Medical Clinic (Muranga North)","Muranga","Kangema"
"49","10013","DFB8hTBFhSc","Afya Medical Clinic (Nyeri North)","Nyeri","Mathira East"
"50","10014","oMeKU8boN0j","Afya Medical Clinic (Nyeri South)","Nyeri","Mukurweini"
"51","10015","bogmNggWmg7","Afya Medical Clinic (Ruiru)","Kiambu","Juja"
"52","13270","ODRJUwfTLvk","Afya Medical Clinic (Wajir East)","Wajir","Wajir East"
"53","12866","0","Afya Medical Health Centre","Nairobi","Langata"
"54","13271","XUTawL51FTU","Afya Medicare Clinic (Wajir East)","Wajir","Wajir East"
"55","11921","QtQRfq2Vjsz","Afya Njema Clinic","Machakos","Athi River"
"56","14188","zXGLJzYiaPN","Afya Njema Medical Clinic","Nakuru","Njoro"
"57","20011","LnHHTiD9lBD","Afya Royal Clinic","Nairobi","Langata"
"58","20236","0","Aga Khan Clinic (Eastleigh)","Nairobi","Kamukunji"
"59","20557","0","Aga Khan Health Service Bungoma Centre","Bungoma","Bungoma Central"
"60","12868","Vpj6plA6iQa","Aga Khan Medical Clinic","Nairobi","Makadara"
"61","11203","ckvRzmsUore","Agah Khan Hospital (Mombasa)","Mombasa","Mvita"
"62","10016","0","Agape Medical Services","Muranga","Maragwa"
"63","14190","npHvq88yTmV","AGC Baby Health Centre","Nakuru","Rongai"
"64","16452","OPpCGyY0Aij","Agma Clinic","Vihiga","Hamisi"
"65","0","0","Aguro","Homa Bay","Suba"
"66","10018","M7R0OJOMSOA","Ahadi Maternity Dispensary","Kiambu","Lari"
"67","16516","lftjRJLPHQc","Ahadi Medical clinic","Kilifi","Kaloleni"
"68","14191","Q5JWb8bSKgK","Ahero Medical Clinic","Nakuru","Nakuru North"
"69","15744","QRuZrcmgaAp","AIC Tuiyobei Dispensary","Baringo","Marigat"
"70","25411","0","AICHM CLINIC5 NAIEMSEKON","Turkana","Turkana East"
"71","10020","EgZh5MF3p8h","AIPCA Gituamba Dispensary","Muranga","Gatanga"
"72","11922","cjRk88NSyY9","Air Port Medical Clinic","Machakos","Athi River"
"73","11204","B761KBCismf","Airport View Medical Clinic","Mombasa","Changamwe"
"74","11205","shrmhDQrrFT","Aishabai Haji Aboo Dispensary","Mombasa","Mvita"
"75","14193","C0eGXaSEHiP","Aiyebo Dispensary","Baringo","Baringo North"
"76","13272","fwUKH0ErhkU","Ajawa Health Centre","Wajir","Wajir North"
"77","40058","0","AJEJRA-GEMS","Siaya","Alego Usonga"
"78","20430","0","Aka Khan  Medical Clinic","Trans Nzoia","Kiminini"
"79","13470","NV1lsQQAz4x","Akado Dispensary","Homa Bay","Mbita"
"80","21034","GLeVzenn2ab","Akiriamas dispensary","Busia","Teso South"
"81","23509","0","Akukuranut Development Trust (ADT) Malaba DIC","Busia","Teso North"
"82","18769","0","Al Amin Nursing Home","Nairobi","Kamukunji"
"83","11822","0","Al Kawthar Medical clinic","Mombasa","Mvita"
"84","11209","fH85KmwtcIR","Al Riyadh Medical Clinic","Mombasa","Changamwe"
"85","11207","PcZ88G2SJnt","Al-Agsa Medical Clinic","Mombasa","Mvita"
"86","13273","0","Al-Ansar Clinic","Garissa","Garissa"
"87","16299","RXx3FcgDwZ0","Al-ansar Medical Clinic","Mandera","Mandera East"
"88","13274","n5d9Sao4gcf","Al-Aqsa Medical Clinic","Garissa","Garissa"
"89","16530","xrYkqC00U9t","Al-Bir Medical Centre","Mombasa","Mvita"
"90","11210","gZmQg2NHpee","Al-Birr Medical Centre","Mombasa","Changamwe"
"91","13275","nYs862A5uon","Al-Faruq Dispensary","Garissa","Garissa"
"92","13276","f4kUKm6boGh","Al-Furaqan Clinic","Wajir","Wajir East"
"93","16801","gp8mHxRey0r","Al-Gadhir Clinic","Nairobi","Dagoretti"
"94","13277","Qcd38VDSnwQ","Al-Hamdu Medical Clinic","Wajir","Wajir East"
"95","13278","KHiYEiiOULw","Al-Haqq Medical Clinic","Wajir","Wajir East"
"96","13279","gTcbEUxmHuM","Al-Hilal Clinic","Garissa","Garissa"
"97","13283","J3a0brNMqGP","Al-Maaruf Clinic","Wajir","Wajir East"
"98","13281","il9cndRb7vt","Al-Maow Dispensary","Wajir","Wajir East"
"99","13284","bX2Nmm72gbh","Al-Maqdis Clinic","Garissa","Garissa"
"100","13285","OdU5xLWKYwb","Al-Mustaqim Clinic","Wajir","Wajir East"
"101","13286","0","Al-Shiffa Nursing Home","Garissa","Garissa"
"102","13287","jKZIre1ICst","Al-Siha Nursing Home","Mandera","Mandera East"
"103","14195","uSRfk7Z51Fp","Alakara Medical Clinic","Turkana","Turkana West"
"104","16256","JZ3YSqeDgq5","Alfa Clinic","Nyamira","Borabu"
"105","11924","RJ5tHCMdNDY","Alfalah Dispensary","Isiolo","Isiolo"
"106","11211","0","Alfarooq Medical Clinic","Mombasa","Likoni"
"107","12869","EhOW0lDCFlg","Alice Nursing Home","Nairobi","Embakasi East"
"108","13282","MMUERdrmeNC","Alinjugur Dispensary","Garissa","Fafi"
"109","10021","D0d22hbKuxu","All Day Medical Clinic","Muranga","Kiharu"
"110","15793","PMwjaBGIelR","All Saints Musaa","Kakamega","Lurambi"
"111","15794","lBSKqMNnHEz","Alliance Clinic","Vihiga","Sabatia"
"112","17847","0","Alliance Medical Centre","Nairobi","Kamukunji"
"113","16557","cYMjQgLlKXt","Almed Health Products","Meru","Imenti North"
"114","16294","FkFXadTcl2A","Alnas Medical Clinic","Mandera","Mandera East"
"115","24603","0","Aloete Dispensary","Busia","Teso North"
"116","11213","n36lC5k9kc6","Alpesan Medical Clinic","Mombasa","Likoni"
"117","10022","sZ9xbF13E0d","Alpha Family Health Care","Nyeri","Tetu"
"118","22251","","ALPHA HILL","Nandi","Chesumei"
"119","16321","j2JtGSpQWuw","Alpha Medical Clinic","Samburu","Samburu Central"
"120","11214","eA2RGei0XrF","Alriyadh Medical Clinic","Mombasa","Likoni"
