id,causality_assessment_level_id,user_id,approved,proposed_causality_level,reason
af3b85ce-ab8f-42b1-a273-df0a9dba4b51,202a49a5-b6b1-4dc7-9509-e7251344cc8d,b8ab476d-c082-4fbd-a430-e6e05fcc6be7,True,,
c7d6fabc-3141-418b-9be0-571a8a15af08,202a49a5-b6b1-4dc7-9509-e7251344cc8d,eee2a028-7fff-4082-9dfc-77442f6e3ea7,False,unlikely,Contradicts known patterns.
565d84ef-e888-40e1-81e2-462ec6029d36,202a49a5-b6b1-4dc7-9509-e7251344cc8d,72370d4f-2bbc-47b9-991c-071e6a81dc64,True,,
e1c86832-4842-475f-9add-ad5c2f831db4,202a49a5-b6b1-4dc7-9509-e7251344cc8d,4c9438ea-e49c-4f55-b9ad-eb72de4b62b7,False,certain,Needs expert second opinion.
df44fe93-325b-4651-abb5-6554aff6b7ec,202a49a5-b6b1-4dc7-9509-e7251344cc8d,47ee406e-8976-4b89-aef4-41fc55ba45a4,False,unclassified,Contradicts known patterns.
88edf67b-f28c-4957-ab1b-452b6090091c,202a49a5-b6b1-4dc7-9509-e7251344cc8d,fd3333f7-0f26-4249-aefe-7342a0b7d5b9,True,,
cff4e3b6-2a66-4681-ad96-c2c64bad75fd,202a49a5-b6b1-4dc7-9509-e7251344cc8d,d1340087-115c-4223-88da-99e890496d0a,False,unlikely,Needs expert second opinion.
be52545a-3f20-4dcc-b71e-206e63ad6337,202a49a5-b6b1-4dc7-9509-e7251344cc8d,abf296e0-0b7e-47fb-937a-3e2a05e7a27b,False,unclassifiable,Contradicts known patterns.
7e774b06-5fa0-41fc-989b-eda4382147b7,202a49a5-b6b1-4dc7-9509-e7251344cc8d,b9951ee1-fa33-4da2-a628-579bf091cc2c,True,,
64af815f-a413-4f78-bd83-4a28522ec0df,202a49a5-b6b1-4dc7-9509-e7251344cc8d,3756bed1-aef0-4a9a-b422-8aedcfb61675,True,,
1e0c672d-ebcc-495e-abf7-ff872801f6e5,202a49a5-b6b1-4dc7-9509-e7251344cc8d,53138b97-dbe7-4b15-886b-9c41e414661d,True,,
5976b030-1efb-44cd-9864-f3c14ad254e0,202a49a5-b6b1-4dc7-9509-e7251344cc8d,345a5264-c00e-400d-9247-e1a1dc346aeb,True,,
d548e2e7-c40b-4e9c-a5fd-b69099606790,202a49a5-b6b1-4dc7-9509-e7251344cc8d,f686e1a1-723c-429b-bb47-f73b16ff83b6,False,likely,
0a4d9797-8c39-4332-bee8-80620c31f57e,202a49a5-b6b1-4dc7-9509-e7251344cc8d,3522234b-03f3-477a-a2e2-73f3eda7cf68,True,,
31fd2b4f-1e32-4398-a5e0-d2a29140f6c8,202a49a5-b6b1-4dc7-9509-e7251344cc8d,0a608a9a-40cc-406f-ac37-83914df136d5,False,certain,Missing key symptom analysis.
2d7b0433-fa98-498d-b07a-a8f9ef4d8e5a,202a49a5-b6b1-4dc7-9509-e7251344cc8d,f0b69dcd-b5e2-4226-b894-a8956d0a68b5,True,,
f99cb760-bfe2-4df4-b0c9-e957ea041994,202a49a5-b6b1-4dc7-9509-e7251344cc8d,a38a16c3-7a7d-4021-aced-39f74c2204ce,False,unclassified,
c1b6ebee-70aa-4014-8f24-21071c75e04e,202a49a5-b6b1-4dc7-9509-e7251344cc8d,498a3e20-031a-4141-8a54-3d169a7387ee,False,unclassifiable,Contradicts known patterns.
7ee2b2ee-8af9-4eb5-839b-cb3c282f225e,202a49a5-b6b1-4dc7-9509-e7251344cc8d,1f2bdbb7-f2bb-4a38-a5f0-e7edd9b786b1,True,,
fbc1b9a8-ead1-4286-9545-d04a8e770f73,202a49a5-b6b1-4dc7-9509-e7251344cc8d,6a946e13-4317-41d8-86fe-a4f9906dcf84,False,likely,Sufficient evidence provided.
ad05ba25-cf0b-4b3c-acf4-99ed68319bda,51c584f6-0d0e-43f0-9c49-4598978aa5cb,3e1f3e67-210b-4c06-8db3-7996b60a1a85,False,likely,Reviewed and agreed.
0224c131-146a-4abc-aa88-54dde1901d6c,51c584f6-0d0e-43f0-9c49-4598978aa5cb,0a608a9a-40cc-406f-ac37-83914df136d5,False,unclassifiable,Missing key symptom analysis.
deedbbdd-1c6c-4e20-9f94-65a71f0dbbe1,51c584f6-0d0e-43f0-9c49-4598978aa5cb,33446ef3-36f8-4466-9c1e-38ca24846e37,False,likely,
